Google,,16ahead,Notes
relations.formattedType,string,,
relations.metadata.verified,boolean,,
relations.metadata.primary,boolean,,
relations.metadata.source.etag,string,,
relations.metadata.source.id,string,,
relations.metadata.source.profileMetadata.objectType,string,,
relations.metadata.source.profileMetadata.userTypes,string,,
relations.metadata.source.updateTime,string,,
relations.metadata.source.type,string,,
relations.type,string,,
occupations.value,string,profession,
occupations.metadata.verified,boolean,,
occupations.metadata.primary,boolean,,
occupations.metadata.source.etag,string,,
occupations.metadata.source.id,string,,
occupations.metadata.source.profileMetadata.objectType,string,,
occupations.metadata.source.profileMetadata.userTypes,string,,
occupations.metadata.source.updateTime,string,,
occupations.metadata.source.type,string,,
emailAddresses.value,string,emailAddresses,
emailAddresses.formattedType,string,,
emailAddresses.displayName,string,,
emailAddresses.metadata.verified,boolean,,
emailAddresses.metadata.primary,boolean,,
emailAddresses.metadata.source.etag,string,,
emailAddresses.metadata.source.id,string,,
emailAddresses.metadata.source.profileMetadata.objectType,string,,
emailAddresses.metadata.source.profileMetadata.userTypes,string,,
emailAddresses.metadata.source.updateTime,string,,
emailAddresses.metadata.source.type,string,,
emailAddresses.type,string,,
organizations.location,string,,
organizations.title,string,,
organizations.current,boolean,,
organizations.startDate.year,integer,,
organizations.startDate.day,integer,,
organizations.startDate.month,integer,,
organizations.formattedType,string,,
organizations.domain,string,,
organizations.department,string,,
organizations.phoneticName,string,,
organizations.type,string,,
organizations.jobDescription,string,,
organizations.endDate.year,integer,,
organizations.endDate.day,integer,,
organizations.endDate.month,integer,,
organizations.symbol,string,,
organizations.name,string,company.name,"company is not an array, so will take current organization from google"
organizations.metadata.verified,boolean,,
organizations.metadata.primary,boolean,,
organizations.metadata.source.etag,string,,
organizations.metadata.source.id,string,,
organizations.metadata.source.profileMetadata.objectType,string,,
organizations.metadata.source.profileMetadata.userTypes,string,,
organizations.metadata.source.updateTime,string,,
organizations.metadata.source.type,string,,
etag,string,,
braggingRights.metadata.verified,boolean,,
braggingRights.metadata.primary,boolean,,
braggingRights.metadata.source.etag,string,,
braggingRights.metadata.source.id,string,,
braggingRights.metadata.source.profileMetadata.objectType,string,,
braggingRights.metadata.source.profileMetadata.userTypes,string,,
braggingRights.metadata.source.updateTime,string,,
braggingRights.metadata.source.type,string,,
braggingRights.value,string,,
metadata.linkedPeopleResourceNames,string,,
metadata.sources.etag,string,,
metadata.sources.id,string,,
metadata.sources.profileMetadata.objectType,string,,
metadata.sources.profileMetadata.userTypes,string,,
metadata.sources.updateTime,string,,
metadata.sources.type,string,,
metadata.previousResourceNames,string,,
metadata.deleted,boolean,,
metadata.objectType,string,,
residences.value,string,,
residences.metadata.verified,boolean,,
residences.metadata.primary,boolean,,
residences.metadata.source.etag,string,,
residences.metadata.source.id,string,,
residences.metadata.source.profileMetadata.objectType,string,,
residences.metadata.source.profileMetadata.userTypes,string,,
residences.metadata.source.updateTime,string,,
residences.metadata.source.type,string,,
residences.current,boolean,,
genders.value,string,gender,16 is not array
genders.formattedValue,string,,
genders.metadata.verified,boolean,,
genders.metadata.primary,boolean,,
genders.metadata.source.etag,string,,
genders.metadata.source.id,string,,
genders.metadata.source.profileMetadata.objectType,string,,
genders.metadata.source.profileMetadata.userTypes,string,,
genders.metadata.source.updateTime,string,,
genders.metadata.source.type,string,,
resourceName,string,,
interests.metadata.verified,boolean,,
interests.metadata.primary,boolean,,
interests.metadata.source.etag,string,,
interests.metadata.source.id,string,,
interests.metadata.source.profileMetadata.objectType,string,,
interests.metadata.source.profileMetadata.userTypes,string,,
interests.metadata.source.updateTime,string,,
interests.metadata.source.type,string,,
interests.value,string,,
biographies.contentType,string,,
biographies.metadata.verified,boolean,,
biographies.metadata.primary,boolean,,
biographies.metadata.source.etag,string,,
biographies.metadata.source.id,string,,
biographies.metadata.source.profileMetadata.objectType,string,,
biographies.metadata.source.profileMetadata.userTypes,string,,
biographies.metadata.source.updateTime,string,,
biographies.metadata.source.type,string,,
biographies.value,string,,
skills.value,string,,
skills.metadata.verified,boolean,,
skills.metadata.primary,boolean,,
skills.metadata.source.etag,string,,
skills.metadata.source.id,string,,
skills.metadata.source.profileMetadata.objectType,string,,
skills.metadata.source.profileMetadata.userTypes,string,,
skills.metadata.source.updateTime,string,,
skills.metadata.source.type,string,,
relationshipStatuses.formattedValue,string,,
relationshipStatuses.metadata.verified,boolean,,
relationshipStatuses.metadata.primary,boolean,,
relationshipStatuses.metadata.source.etag,string,,
relationshipStatuses.metadata.source.id,string,,
relationshipStatuses.metadata.source.profileMetadata.objectType,string,,
relationshipStatuses.metadata.source.profileMetadata.userTypes,string,,
relationshipStatuses.metadata.source.updateTime,string,,
relationshipStatuses.metadata.source.type,string,,
relationshipStatuses.value,string,,
photos.url,string,images,
photos.metadata.verified,boolean,,
photos.metadata.primary,boolean,,
photos.metadata.source.etag,string,,
photos.metadata.source.id,string,,
photos.metadata.source.profileMetadata.objectType,string,,
photos.metadata.source.profileMetadata.userTypes,string,,
photos.metadata.source.updateTime,string,,
photos.metadata.source.type,string,,
photos.default,boolean,,
ageRange,string,,
taglines.metadata.verified,boolean,,
taglines.metadata.primary,boolean,,
taglines.metadata.source.etag,string,,
taglines.metadata.source.id,string,,
taglines.metadata.source.profileMetadata.objectType,string,,
taglines.metadata.source.profileMetadata.userTypes,string,,
taglines.metadata.source.updateTime,string,,
taglines.metadata.source.type,string,,
taglines.value,string,keywords,
ageRanges.ageRange,string,,
ageRanges.metadata.verified,boolean,,
ageRanges.metadata.primary,boolean,,
ageRanges.metadata.source.etag,string,,
ageRanges.metadata.source.id,string,,
ageRanges.metadata.source.profileMetadata.objectType,string,,
ageRanges.metadata.source.profileMetadata.userTypes,string,,
ageRanges.metadata.source.updateTime,string,,
ageRanges.metadata.source.type,string,,
